"jurisdiction","age_group","Sum(fines)","Sum(arrests)","Sum(charges)","population_age_group_jurisdiction","fines_per_capita_age","arrests_per_capita_age","charges_per_capita_age"
"ACT","0-16",144,30,48,93487,0.0015403211141656059,0.00032090023211783455,0.0005134403713885353
"ACT","17-25",22154,76,330,61730,0.3588854689778066,0.0012311679896322696,0.005345861007613802
"ACT","26-39",50930,237,770,114483,0.44486954394975675,0.0020701763580618956,0.006725889433365653
"ACT","40-64",72160,104,375,138259,0.5219190070809133,0.0007522114292740436,0.002712300826709292
"ACT","65 and over",20149,0,9,65896,0.3057696977054753,0,0.00013657885152361295
"NSW","0-16",527,0,1149,1695550,0.0003108136003066851,0,0.0006776562177464539
"NSW","17-25",110976,0,18655,996438,0.11137270959156516,0,0.018721686647839606
"NSW","26-39",148599,0,27112,1735688,0.08561388913214818,0,0.015620318859149801
"NSW","40-64",139339,0,17077,2551551,0.054609529654708056,0,0.00669279195281615
"NSW","65 and over",27246,0,1021,1500087,0.018162946549100153,0,0.0006806271902896299
"NT","0-16",121,226,408,58003,0.002086098994879575,0.0038963501887833386,0.007034118924883196
"NT","17-25",12307,362,1671,31202,0.3944298442407538,0.011601820396128453,0.05355425934234985
"NT","26-39",31560,486,2395,65777,0.47980297064323396,0.007388600878726607,0.036410903507304984
"NT","40-64",38622,196,976,75574,0.511048773387673,0.002593484531717257,0.012914494402836955
"NT","65 and over",8623,109,543,24513,0.35177252886223637,0.0044466201607310405,0.022151511442907845
"QLD","0-16",21646,0,0,1153292,0.01876888073445407,0,0
"QLD","17-25",144916,0,0,653077,0.2218972647941973,0,0
"QLD","26-39",291988,0,0,1103317,0.26464560955736205,0,0
"QLD","40-64",381210,0,0,1715289,0.2222424326163113,0,0
"QLD","65 and over",92394,0,0,958858,0.09635837631849554,0,0
"SA","0-16",89,178,128,356679,0.00024952408187754255,0.0004990481637550851,0.0003588660952845556
"SA","17-25",51688,538,1522,207401,0.24921769904677413,0.002594008707769008,0.007338440991123476
"SA","26-39",115727,1424,3817,360598,0.320930787192386,0.003948995834696809,0.010585194593425365
"SA","40-64",177635,878,3835,572938,0.31004227333498563,0.0015324520279681223,0.006693568937651194
"SA","65 and over",57501,29,219,380395,0.15116129286662547,0.00007623654359284427,0.0005757173464425137
"TAS","0-16",28,18,156,106769,0.0002622484054360348,0.00016858826063745095,0.0014610982588579083
"TAS","17-25",21671,1,921,56224,0.3854403813318156,0.000017785998861696074,0.01638090495162208
"TAS","26-39",47289,0,1877,109129,0.4333311951910125,0,0.01719982772681872
"TAS","40-64",61087,0,1202,177699,0.3437667066218718,0,0.0067642474071322855
"TAS","65 and over",21799,0,57,125675,0.17345534115774816,0,0.0004535508255420728
"VIC","0-16",188,0,0,1380684,0.00013616439388013479,0,0
"VIC","17-25",187859,0,0,827580,0.2269979941516228,0,0
"VIC","26-39",596640,0,0,1515318,0.3937391359437425,0,0
"VIC","40-64",903149,0,0,2091099,0.43190159815484586,0,0
"VIC","65 and over",265643,0,0,1164038,0.22820818564342402,0,0
"WA","0-16",1190,350,1020,616892,0.0019290248536210552,0.0005673602510650163,0.001653449874532333
"WA","17-25",156815,920,9372,332504,0.47161838654572574,0.002766884007410437,0.028186127084185452
"WA","26-39",397102,2166,15718,622888,0.6375174991330704,0.003477350663361632,0.025234070972630713
"WA","40-64",593441,842,9867,912829,0.6501119048584127,0.0009224071540233713,0.01080925343081782
"WA","65 and over",146466,14,459,479965,0.3051597512318607,0.000029168793557863595,0.0009563197316470993
