jurisdiction,age_group,total_fines,total_arrests,total_charges
ACT,0-16,144,30,48
ACT,17-25,22154,76,330
ACT,26-39,50930,237,770
ACT,40-64,72160,104,375
ACT,65 and over,20149,0,9
NSW,0-16,527,0,1149
NSW,17-25,110976,0,18655
NSW,26-39,148599,0,27112
NSW,40-64,139339,0,17077
NSW,65 and over,27246,0,1021
NT,0-16,121,226,408
NT,17-25,12307,362,1671
NT,26-39,31560,486,2395
NT,40-64,38622,196,976
NT,65 and over,8623,109,543
QLD,0-16,21646,0,0
QLD,17-25,144916,0,0
QLD,26-39,291988,0,0
QLD,40-64,381210,0,0
QLD,65 and over,92394,0,0
SA,0-16,89,178,128
SA,17-25,51688,538,1522
SA,26-39,115727,1424,3817
SA,40-64,177635,878,3835
SA,65 and over,57501,29,219
TAS,0-16,28,18,156
TAS,17-25,21671,1,921
TAS,26-39,47289,0,1877
TAS,40-64,61087,0,1202
TAS,65 and over,21799,0,57
VIC,0-16,188,0,0
VIC,17-25,187859,0,0
VIC,26-39,596640,0,0
VIC,40-64,903149,0,0
VIC,65 and over,265643,0,0
WA,0-16,1190,350,1020
WA,17-25,156815,920,9372
WA,26-39,397102,2166,15718
WA,40-64,593441,842,9867
WA,65 and over,146466,14,459
