year,month,jurisdiction,total_fines,total_arrests,total_charges
2023,1,ACT,7014,23,64
2023,1,NSW,17723,0,2991
2023,1,NT,2986,63,185
2023,1,SA,18900,174,327
2023,1,TAS,7145,0,212
2023,1,VIC,99950,0,0
2023,1,WA,64996,205,1799
2023,2,ACT,6182,24,59
2023,2,NSW,14908,0,2452
2023,2,NT,2886,40,155
2023,2,SA,18128,140,353
2023,2,TAS,4921,0,174
2023,2,VIC,82295,0,0
2023,2,WA,71336,164,1491
2023,3,ACT,6466,20,80
2023,3,NSW,16203,0,2636
2023,3,NT,3063,74,240
2023,3,SA,20503,142,419
2023,3,TAS,4612,0,221
2023,3,VIC,91031,0,0
2023,3,WA,66722,172,1442
2023,4,ACT,6401,28,76
2023,4,NSW,18420,0,2647
2023,4,NT,3068,35,167
2023,4,SA,16286,135,378
2023,4,TAS,4739,0,86
2023,4,VIC,84571,0,0
2023,4,WA,67742,154,1354
2023,5,ACT,5955,21,69
2023,5,NSW,15581,0,2700
2023,5,NT,4018,30,128
2023,5,SA,18018,130,359
2023,5,TAS,5706,0,213
2023,5,VIC,83489,0,0
2023,5,WA,61277,191,1412
2023,6,ACT,5437,14,54
2023,6,NSW,20720,0,3055
2023,6,NT,3833,59,165
2023,6,SA,18078,125,361
2023,6,TAS,5378,0,117
2023,6,VIC,84288,0,0
2023,6,WA,53292,166,1395
2023,7,ACT,5558,17,65
2023,7,NSW,15138,0,2647
2023,7,NT,4174,43,140
2023,7,SA,17200,127,415
2023,7,TAS,5737,0,134
2023,7,VIC,87283,0,0
2023,7,WA,70373,137,1323
2023,8,ACT,5118,15,45
2023,8,NSW,16825,0,2692
2023,8,NT,3784,48,202
2023,8,SA,18644,134,481
2023,8,TAS,5605,0,221
2023,8,VIC,90242,0,0
2023,8,WA,75075,186,1535
2023,9,ACT,5719,16,59
2023,9,NSW,17818,0,2877
2023,9,NT,3789,47,168
2023,9,SA,18037,138,451
2023,9,TAS,5099,0,189
2023,9,VIC,88812,0,0
2023,9,WA,71969,187,1363
2023,10,ACT,5802,18,53
2023,10,NSW,17065,0,2642
2023,10,NT,3306,56,217
2023,10,SA,17691,100,387
2023,10,TAS,7115,0,123
2023,10,VIC,96734,0,0
2023,10,WA,76759,175,1439
2023,11,ACT,5700,9,42
2023,11,NSW,15471,0,2490
2023,11,NT,2716,60,204
2023,11,SA,18700,110,412
2023,11,TAS,7584,0,182
2023,11,VIC,104418,0,0
2023,11,WA,65683,194,1300
2023,12,ACT,6047,10,42
2023,12,NSW,21050,0,2848
2023,12,NT,5573,56,317
2023,12,SA,14678,156,418
2023,12,TAS,6094,0,142
2023,12,VIC,109422,0,0
2023,12,WA,69316,205,1539
2024,1,ACT,6126,23,102
2024,1,NSW,18074,0,2663
2024,1,NT,4921,49,203
2024,1,QLD,77377,0,0
2024,1,SA,16281,138,399
2024,1,TAS,8241,1,182
2024,1,VIC,112294,0,0
2024,1,WA,61376,197,1575
2024,2,ACT,7833,18,51
2024,2,NSW,16090,0,2428
2024,2,NT,4879,40,221
2024,2,QLD,76860,0,0
2024,2,SA,16383,124,359
2024,2,TAS,6292,1,192
2024,2,VIC,101040,0,0
2024,2,WA,58516,154,1434
2024,3,ACT,11297,18,69
2024,3,NSW,21425,0,2712
2024,3,NT,5436,62,335
2024,3,QLD,78981,0,0
2024,3,SA,16813,137,466
2024,3,TAS,5790,4,135
2024,3,VIC,89082,0,0
2024,3,WA,62774,177,1607
2024,4,ACT,8948,16,54
2024,4,NSW,17710,0,2505
2024,4,NT,3967,56,340
2024,4,QLD,71199,0,0
2024,4,SA,15418,106,369
2024,4,TAS,6865,1,116
2024,4,VIC,96479,0,0
2024,4,WA,60318,169,1458
2024,5,ACT,8871,23,64
2024,5,NSW,16631,0,2562
2024,5,NT,3004,60,335
2024,5,QLD,77322,0,0
2024,5,SA,14600,125,389
2024,5,TAS,6740,1,230
2024,5,VIC,99525,0,0
2024,5,WA,59814,164,1641
2024,6,ACT,6749,5,53
2024,6,NSW,19704,0,2840
2024,6,NT,2981,58,257
2024,6,QLD,80868,0,0
2024,6,SA,15737,96,373
2024,6,TAS,5318,0,183
2024,6,VIC,83963,0,0
2024,6,WA,53898,165,1547
2024,7,ACT,7055,12,54
2024,7,NSW,15717,0,2608
2024,7,NT,3657,65,330
2024,7,QLD,78483,0,0
2024,7,SA,15088,96,425
2024,7,TAS,5851,0,214
2024,7,VIC,102222,0,0
2024,7,WA,55098,180,1637
2024,8,ACT,7660,27,84
2024,8,NSW,18660,0,2772
2024,8,NT,4234,69,339
2024,8,QLD,77765,0,0
2024,8,SA,15005,130,453
2024,8,TAS,6659,4,262
2024,8,VIC,94106,0,0
2024,8,WA,58297,216,1609
2024,9,ACT,6422,17,69
2024,9,NSW,17747,0,2611
2024,9,NT,3638,56,321
2024,9,QLD,76378,0,0
2024,9,SA,13429,123,389
2024,9,TAS,6511,2,181
2024,9,VIC,63092,0,0
2024,9,WA,7363,173,1573
2024,10,ACT,7496,25,81
2024,10,NSW,19045,0,2710
2024,10,NT,4327,85,348
2024,10,QLD,78886,0,0
2024,10,SA,16367,113,373
2024,10,TAS,7206,4,165
2024,10,VIC,2835,0,0
2024,10,WA,2930,174,1705
2024,11,ACT,8089,24,72
2024,11,NSW,16348,0,2714
2024,11,NT,3345,62,314
2024,11,QLD,75181,0,0
2024,11,SA,15595,114,379
2024,11,TAS,8061,1,159
2024,11,VIC,2970,0,0
2024,11,WA,84,165,1604
2024,12,ACT,7592,24,71
2024,12,NSW,22614,0,3212
2024,12,NT,3648,106,362
2024,12,QLD,82854,0,0
2024,12,SA,17061,134,386
2024,12,TAS,8605,0,180
2024,12,VIC,3336,0,0
2024,12,WA,6,222,1654
