"year","Month (Name)","Sum(fines)"
2023,"April",201227
2023,"August",215293
2023,"December",232180
2023,"February",200656
2023,"January",218714
2023,"July",205463
2023,"June",191026
2023,"March",208600
2023,"May",194044
2023,"November",220272
2023,"October",224472
2023,"September",211243
2024,"April",280904
2024,"August",282386
2024,"December",145716
2024,"February",287893
2024,"January",304690
2024,"July",283171
2024,"June",269218
2024,"March",291598
2024,"May",286507
2024,"November",129673
2024,"October",139092
2024,"September",194580
