jurisdiction,age_group,metric,total_fines
ACT,0-16,Mobile Phone Use,17
ACT,0-16,Non-wearing Seatbelts,4
ACT,0-16,Speeding,101
ACT,0-16,Unlicensed Driving,22
ACT,17-25,Mobile Phone Use,3737
ACT,17-25,Non-wearing Seatbelts,45
ACT,17-25,Speeding,18198
ACT,17-25,Unlicensed Driving,174
ACT,26-39,Mobile Phone Use,10973
ACT,26-39,Non-wearing Seatbelts,42
ACT,26-39,Speeding,39696
ACT,26-39,Unlicensed Driving,219
ACT,40-64,Mobile Phone Use,10666
ACT,40-64,Non-wearing Seatbelts,40
ACT,40-64,Speeding,61314
ACT,40-64,Unlicensed Driving,140
ACT,65 and over,Mobile Phone Use,1246
ACT,65 and over,Non-wearing Seatbelts,3
ACT,65 and over,Speeding,18896
ACT,65 and over,Unlicensed Driving,4
NSW,0-16,Mobile Phone Use,35
NSW,0-16,Non-wearing Seatbelts,95
NSW,0-16,Speeding,281
NSW,0-16,Unlicensed Driving,116
NSW,17-25,Mobile Phone Use,9460
NSW,17-25,Non-wearing Seatbelts,4854
NSW,17-25,Speeding,91903
NSW,17-25,Unlicensed Driving,4759
NSW,26-39,Mobile Phone Use,10356
NSW,26-39,Non-wearing Seatbelts,7807
NSW,26-39,Speeding,122972
NSW,26-39,Unlicensed Driving,7464
NSW,40-64,Mobile Phone Use,7342
NSW,40-64,Non-wearing Seatbelts,5307
NSW,40-64,Speeding,122225
NSW,40-64,Unlicensed Driving,4465
NSW,65 and over,Mobile Phone Use,795
NSW,65 and over,Non-wearing Seatbelts,953
NSW,65 and over,Speeding,25088
NSW,65 and over,Unlicensed Driving,410
NT,0-16,Mobile Phone Use,1
NT,0-16,Non-wearing Seatbelts,2
NT,0-16,Speeding,116
NT,0-16,Unlicensed Driving,2
NT,17-25,Mobile Phone Use,86
NT,17-25,Non-wearing Seatbelts,348
NT,17-25,Speeding,11691
NT,17-25,Unlicensed Driving,182
NT,26-39,Mobile Phone Use,202
NT,26-39,Non-wearing Seatbelts,772
NT,26-39,Speeding,30187
NT,26-39,Unlicensed Driving,399
NT,40-64,Mobile Phone Use,142
NT,40-64,Non-wearing Seatbelts,595
NT,40-64,Speeding,37682
NT,40-64,Unlicensed Driving,203
NT,65 and over,Mobile Phone Use,18
NT,65 and over,Non-wearing Seatbelts,56
NT,65 and over,Speeding,8538
NT,65 and over,Unlicensed Driving,11
QLD,0-16,Mobile Phone Use,2104
QLD,0-16,Non-wearing Seatbelts,812
QLD,0-16,Speeding,18147
QLD,0-16,Unlicensed Driving,583
QLD,17-25,Mobile Phone Use,10451
QLD,17-25,Non-wearing Seatbelts,5870
