jurisdiction,metric,total_fines
ACT,Mobile Phone Use,26639
ACT,Non-wearing Seatbelts,134
ACT,Speeding,138205
ACT,Unlicensed Driving,559
NSW,Mobile Phone Use,27988
NSW,Non-wearing Seatbelts,19016
NSW,Speeding,362469
NSW,Unlicensed Driving,17214
NT,Mobile Phone Use,449
NT,Non-wearing Seatbelts,1773
NT,Speeding,88214
NT,Unlicensed Driving,797
QLD,Mobile Phone Use,75032
QLD,Non-wearing Seatbelts,39348
QLD,Speeding,792643
QLD,Unlicensed Driving,25131
SA,Mobile Phone Use,10325
SA,Non-wearing Seatbelts,5304
SA,Speeding,379754
SA,Unlicensed Driving,7257
TAS,Mobile Phone Use,5243
TAS,Non-wearing Seatbelts,6168
TAS,Speeding,139977
TAS,Unlicensed Driving,486
VIC,Mobile Phone Use,75237
VIC,Non-wearing Seatbelts,57359
VIC,Speeding,1804541
VIC,Unlicensed Driving,16342
WA,Mobile Phone Use,7323
WA,Non-wearing Seatbelts,3714
WA,Speeding,1279948
WA,Unlicensed Driving,4029
